Data properties:

Recording date: 2019/11/13
Recording time: 09:50:55:000 (corresponds to time 0)
Study: Test2
Subject: HZT
Recording: HZT
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
478	118300	200	995	183	
479	118500	158	975	285	
480	118658	200	988	388	
481	118858	200	1052	452	
482	119058	216	1172	952	
483	119274	67	1209	918	
484	119341	50	1140	888	
485	119391	75	1129	925	
486	119466	233	1157	889	
487	119699	558	1154	573	
488	120257	92	1204	782	
489	120348	75	1216	913	
490	120423	283	1185	931	
491	120707	200	1140	906	
492	120906	92	1094	908	
493	120998	108	868	743	
494	121106	375	765	843	
495	121481	366	573	799	
496	121847	58	618	798	
497	121906	125	582	800	
498	122031	433	656	240	
499	122464	200	567	958	
500	122663	133	594	769	
501	122797	92	576	809	
502	122888	291	899	360	
503	123180	283	1045	477	
504	123463	175	1189	801	
505	123638	75	1164	946	
506	123713	117	1114	945	
507	123829	50	1163	893	
508	123879	175	1097	936	
509	124054	366	638	836	
510	124421	83	995	476	
511	124504	58	1020	441	
512	124562	183	986	483	
513	124746	166	494	284	
514	124912	733	271	321	
515	125645	183	321	975	
516	125828	75	299	868	
517	125903	108	329	836	
518	126011	50	260	768	
519	126061	67	338	846	
520	126128	341	462	304	
521	126469	116	572	333	
522	126586	67	570	370	
523	126652	291	805	229	
524	126944	308	891	305	
525	127252	308	926	376	
526	127560	225	1093	547	
527	127785	383	1147	600	
528	128168	325	967	415	
529	128842	133	1026	392	
530	128976	166	1242	90	
531	129142	675	1272	-14	
532	129817	292	1206	-4	
533	130108	283	726	386	
534	130391	291	1096	568	
535	130683	200	1112	625	
536	130883	250	1135	449	
537	131133	283	897	483	
538	131416	116	873	438	
539	131532	92	864	503	
540	131624	266	1054	889	
541	131890	167	1068	526	
542	132057	67	1086	486	
543	132124	125	1063	545	
544	132248	208	1107	626	
545	132457	75	1136	878	
546	132532	58	1179	863	
547	132590	50	1134	888	
548	132640	67	1167	863	
549	132706	83	1113	881	
550	132790	191	1149	790	
551	132981	366	1124	483	
552	133348	225	1143	420	
553	133573	67	465	343	
554	133639	175	461	302	
