Data properties:

Recording date: 2019/11/13
Recording time: 11:06:06:000 (corresponds to time 0)
Study: Test1
Subject: HMH
Recording: HMH
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
488	141954	233	642	620	
489	142187	191	614	855	
490	142378	175	1073	797	
491	142553	283	582	313	
492	142837	266	1086	194	
493	143103	150	1122	218	
494	143253	191	1072	278	
495	143444	450	1074	442	
496	143894	333	1104	250	
497	144227	166	999	258	
498	144394	242	821	347	
499	144635	241	841	406	
500	144877	191	1046	689	
501	145068	200	1036	859	
502	145376	50	1048	851	
503	145426	300	630	874	
504	145726	358	1071	797	
505	146084	58	1039	835	
506	146143	92	1042	794	
507	146234	191	1072	758	
508	146534	175	1073	209	
509	146709	191	868	229	
510	146900	375	495	359	
511	147275	133	359	281	
512	147408	58	361	327	
513	147467	117	364	288	
514	147583	266	860	232	
515	147850	641	1063	148	
516	148491	258	1111	207	
517	148749	175	1090	259	
518	148924	183	879	372	
519	149107	308	920	370	
520	149415	100	944	343	
521	149515	358	1049	167	
522	150082	608	1099	202	
523	150689	874	770	304	
524	152014	67	664	337	
525	152080	100	672	376	
526	152180	225	655	210	
527	152405	258	966	226	
528	152663	216	1032	240	
529	152880	266	1048	425	
530	153146	891	1106	537	
531	154037	283	1113	575	
532	154320	166	1076	471	
533	154487	142	1154	828	
534	154628	191	1080	873	
535	154820	200	743	840	
536	155020	158	461	823	
537	155178	233	456	787	
538	155411	550	1093	459	
539	155961	200	804	239	
540	156161	633	687	140	
541	156793	175	589	127	
542	156968	275	506	838	
543	157385	17	510	822	
544	157585	458	527	141	
545	158750	266	765	342	
546	159017	183	785	161	
547	159200	2040	835	129	
548	161240	141	814	205	
549	161382	291	832	126	
550	161673	516	730	147	
551	162190	150	641	266	
552	162340	83	653	208	
553	162423	50	636	268	
554	162473	50	572	268	
555	162523	92	562	211	
556	162615	250	573	259	
557	162864	58	567	219	
558	162923	100	560	266	
559	163023	100	588	244	
560	163123	250	777	250	
561	163372	191	1054	178	
562	163564	241	693	208	
563	163972	391	625	175	
564	164363	266	769	177	
565	164630	191	835	146	
566	164821	441	1106	127	
567	165263	375	950	143	
568	165637	225	1114	167	
569	165862	200	1004	692	
570	166062	175	1026	812	
571	166237	316	527	334	
572	166553	58	544	255	
573	166612	216	529	342	
574	166828	208	437	379	
575	167036	216	986	178	
576	167253	258	1105	131	
577	167644	67	904	690	
578	167711	67	865	763	
579	167778	141	571	856	
580	167919	83	533	905	
581	168003	75	649	854	
582	168077	108	611	874	
583	168186	291	364	917	
584	168477	175	616	809	
585	168652	75	1077	864	
