Data properties:				
Recording date: 2021/10/3				
Recording time: 16:50:57:000 (corresponds to time 0)				
Study: Test2				
Subject: P16				
Recording: Rec 12				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
485	159637	333	315	489
486	159970	250	606	531
487	160219	766	610	474
488	160986	333	476	639
489	161319	200	482	883
490	161519	216	513	556
491	161985	83	87	398
492	162068	200	553	579
493	162268	1998	497	521
494	164266	150	745	506
495	164416	300	309	242
496	164716	316	216	131
497	165032	416	393	239
498	165449	283	651	430
499	165732	250	1031	580
500	165982	500	1132	608
501	166481	300	1033	828
502	166781	166	560	815
503	166948	150	986	666
504	167097	200	1028	583
505	167297	366	986	603
506	167664	200	991	752
507	167864	600	1008	892
508	168463	1099	1007	576
509	169562	333	971	627
510	169895	100	993	804
511	169995	100	1040	737
512	170095	183	1007	875
513	170278	566	999	597
514	170845	233	1036	511
515	171344	1049	1028	522
516	172393	483	1127	587
517	172876	233	1090	803
518	173110	100	1062	778
519	173509	83	1128	796
520	173593	233	1102	915
521	173826	449	1104	610
522	174275	167	690	609
523	174442	749	555	548
524	175191	300	852	534
525	175491	316	434	445
526	175807	302	1012	183
527	176109	600	278	462
528	176876	150	463	338
529	177026	300	683	186
530	177325	233	1021	191
531	177559	599	1136	173
532	178158	334	1070	890
533	178492	316	586	840
534	179074	183	1028	202
535	179257	283	421	437
536	179540	533	686	186
537	180074	216	640	843
538	180290	916	667	168
539	181206	350	716	688
540	181555	433	663	182
541	181989	283	716	153
542	182272	333	936	168
543	182604	317	854	208
544	182921	283	861	892
545	183537	850	946	169
546	184387	849	1154	212
547	185236	250	1080	868
548	185486	366	762	540
549	185852	250	700	552
550	186852	366	559	558
551	187218	366	850	443
552	187585	400	406	345
553	187984	533	397	256
554	188517	466	380	158
555	188984	333	345	391
556	189317	366	731	440
557	189683	833	532	473
558	190516	383	1007	434
559	190899	533	838	361
560	191432	866	1029	499
561	192298	100	1038	457
562	192398	100	1029	500
563	192498	283	1111	473
564	192781	433	394	377
565	193214	200	394	331
566	193414	100	351	329
567	193681	83	219	422
568	193764	100	166	405
569	194164	300	556	290
570	194463	350	381	249
571	194813	466	1019	866
572	195280	200	668	640
573	195480	433	1000	404
574	195913	183	520	346
575	196095	300	374	198
576	196395	133	756	331
577	196529	100	760	292
578	197111	333	1131	495
579	197444	400	763	531
580	198227	533	441	543
581	198760	133	770	546
582	198893	99	770	585
583	198993	250	823	552
584	199243	400	492	417
585	199643	166	625	564
586	199809	233	1045	333
587	200042	500	462	536
588	200542	250	930	492
589	200792	533	1134	135
590	201325	183	1128	738
591	201508	233	1079	814
592	201741	266	593	481
593	202008	316	556	526
594	202324	350	1044	316
595	203007	83	463	549
596	203090	266	1045	358
597	203357	800	529	525
598	204156	533	198	534
599	204689	267	1013	812
600	204956	250	863	366
601	205205	433	360	548
602	205638	183	808	510
603	205822	100	816	464
604	205922	100	809	512
605	206271	83	951	826
606	206355	300	649	635
607	206654	283	1084	225
608	206937	266	483	548
609	207204	234	515	510
610	207437	283	1109	233
611	207720	450	1117	163
612	208170	250	1095	816
613	208420	166	895	826
614	208586	316	1059	250
615	209069	167	288	543
616	209236	183	391	535
617	209419	266	653	562
618	209685	633	511	545
619	210318	200	781	478
620	210518	216	1048	522
621	210734	250	388	214
622	210984	200	372	122
623	211184	233	252	249
624	211417	266	538	322
625	211684	383	420	243
626	212067	300	624	321
627	212366	500	801	451
628	212866	466	518	358
629	213532	550	625	362
630	214082	133	753	393
631	214215	150	784	412
632	214365	283	992	462
633	214648	183	804	416
634	214831	650	597	345
635	215481	383	479	287
636	215864	316	647	362
637	216180	250	513	298
638	216430	366	953	412
639	216797	350	498	332
640	217147	250	432	218
641	217396	333	1051	482
642	217963	83	669	349
643	218046	183	390	280
644	218229	466	1099	546
645	218695	233	997	838
646	218929	183	1066	426
647	219112	200	815	397
648	219495	100	544	326
649	219595	383	367	217
650	219978	350	789	399
651	220328	250	576	490
652	220577	316	697	513
653	220894	200	312	678
654	221094	100	275	660
655	221427	166	62	513
656	221593	633	74	556
657	222226	183	105	929
658	222409	250	-8	1178
659	222659	333	470	471
660	222992	316	669	542
661	223309	516	496	546
662	223825	999	386	535
663	224824	267	525	537
664	225341	266	562	522
665	225607	183	734	427
666	225790	233	353	213
667	226024	283	283	119
668	226307	250	563	275
669	226557	200	327	191
670	226756	300	283	100
671	227056	383	389	164
672	227439	233	250	134
673	227672	250	284	82
674	227922	316	392	176
675	228239	366	499	246
676	228605	316	610	299
677	228922	300	744	391
678	229221	266	861	398
679	229488	216	981	471
680	229704	133	581	339
681	229838	316	403	223
682	230154	316	1115	492
683	230654	300	242	161
684	230954	217	309	94
685	231170	233	449	219
686	231403	366	677	340
687	231770	350	843	401
688	232119	366	1064	505
689	232486	300	1121	496
690	232786	333	289	207
691	233302	383	997	458
692	233685	233	559	405
693	233918	167	993	858
694	234085	166	1107	843
695	234251	350	1120	530
696	234601	183	1105	726
697	234784	266	1115	849
698	235051	167	1110	703
699	235217	416	1113	565
700	235634	316	771	552
701	236183	133	354	653
702	236317	150	79	653
703	236466	300	647	587
704	236766	233	205	672
705	236999	266	548	566
706	237266	500	519	539
707	237766	100	379	542
708	238665	183	214	555
709	238848	250	424	522
710	239098	266	828	531
711	239364	316	618	526
712	239681	283	-569	502
713	239964	250	734	498
714	240214	316	681	523
715	240530	566	467	539
716	241596	333	256	557
717	241929	550	723	314
718	242479	250	1032	414
719	242729	233	528	285
720	242962	183	531	245
721	243145	266	457	403
722	243412	300	543	165
723	243711	217	596	831
724	243928	250	489	824
725	244178	300	444	446
726	244477	250	456	400
727	244727	366	871	427
728	245094	233	825	497
729	245327	316	761	852
730	245643	283	851	512
731	245927	350	776	535
732	246276	200	890	832
733	246476	200	899	929
734	246676	283	940	457
735	246959	350	895	545
736	247309	300	980	427
737	247609	216	948	445
738	247825	333	947	829
739	248541	416	947	467
740	248958	516	932	856
741	249474	550	998	408
742	250024	300	1041	876
743	250323	266	1114	433
744	250590	250	1146	458
745	250840	183	1158	914
746	251023	249	1121	950
747	251272	150	955	764
748	251422	500	1043	405
749	251922	483	1155	468
750	252638	67	701	491
751	252988	200	559	1164
752	253188	233	588	1221
753	253421	150	602	1262
754	253571	400	751	1291
755	254104	17	773	1223
756	254403	600	541	1246
757	256369	300	274	525
758	256886	333	584	560
759	258435	233	214	535
760	258668	316	438	521
761	258984	633	576	514
762	259617	183	358	264
763	259800	233	223	121
764	260034	267	505	309
765	260300	416	298	235
766	260717	183	357	246
767	260900	450	248	132
768	261350	416	389	263
769	261766	250	640	446
770	262016	367	953	521
771	262382	333	828	819
772	262716	167	745	743
773	262882	266	758	442
774	263149	200	1057	582
775	263349	217	1114	634
776	263565	283	824	502
777	263848	550	504	389
778	264398	550	715	433
779	264948	400	608	781
780	265597	166	278	893
781	265764	416	337	395
782	266180	416	662	909
783	266596	216	606	1085
784	266812	300	594	1248
785	267362	83	604	357
786	267445	233	778	446
787	267678	266	689	460
788	267945	233	756	345
789	268178	366	554	383
790	268544	133	442	379
791	268844	316	399	349
792	269160	200	717	462
793	269360	217	1196	109
794	269577	200	629	542
795	269777	350	677	525
796	270126	433	779	274
797	270559	400	533	475
798	270959	250	787	248
799	271209	433	1084	347
800	271642	233	878	439
801	271875	183	923	864
802	272059	167	714	854
803	272225	166	703	772
804	272392	250	742	271
805	272641	317	741	187
806	273608	133	826	330
807	273741	283	810	413
808	274024	300	789	830
809	274324	216	719	786
810	274540	433	815	396
811	274973	450	827	435
812	275423	333	749	834
813	275756	200	743	776
814	275956	400	796	302
815	276355	217	819	363
816	276572	400	780	883
817	276972	300	823	444
818	277272	483	850	499
819	277755	383	787	855
820	278138	183	832	851
821	278321	516	913	416
822	278837	600	1157	340
823	279437	316	1088	900
824	279753	200	1130	917
825	279953	250	1141	315
826	280203	200	834	429
827	280403	200	777	508
828	280603	133	627	532
829	281485	216	461	436
830	281702	150	964	366
831	281852	266	1141	160
832	282118	300	1145	111
833	282418	200	1071	857
834	282618	316	1081	798
835	282934	266	1108	203
836	283201	233	1119	125
837	283434	433	621	499
